Year,ACCESS-ESM1-5,BCC-CSM2-MR,CESM2,CNRM-CM6-1,CanESM5,FGOALS-g3,GFDL-ESM4,GISS-E2-1-G,IPSL-CM6A-LR,MIROC6,MRI-ESM2-0,NorESM2-LM
1850,0.05872048001503435,-0.1782656465604412,-0.12516196064741608,-0.03504552409288089,0.05864140985107681,0.06857954336417675,0.1562129769351135,0.105601063668841,-0.03829340090853422,-0.057443601573817414,0.10785415193770181,-0.03201722794399116
1851,0.04532527294799954,-0.22219755117495485,-0.21012529869935165,-0.03248949292587731,0.05310357766123433,0.11101728580409603,0.1093815837510669,0.03907454073960761,0.028729214097629168,0.010844582052877689,0.08221154365585209,-0.0551539445955217
1852,0.10854058273753733,-0.1519905346168558,-0.07129173770157733,0.0046590828482302215,0.04545796800897982,0.200500706135343,-0.1167264144656958,0.0706815403999773,-0.06733099955595755,0.007170745537768807,0.05049393479036364,0.030652401100002166
1853,0.08302243752310304,-0.10602882377414792,-0.08556922290800069,0.021121355846606283,0.0828999158783532,0.012884584665096205,0.1276864420861254,-0.03131567508084858,0.025257730784046188,-0.07399854804204017,-0.003087741830477658,-0.046440568023882745
1854,0.03255505695021898,-0.19050060204321115,0.12114600940225466,-0.0012168157405771723,0.10401990666379243,0.12236001880819197,-0.03930470447346263,-0.06287663611123344,-0.007317282664164721,-0.042663149708546365,0.08738538566651136,-0.013456921157984072
1855,0.10504143004224292,-0.13881288770731615,0.05388763514773432,0.03411354351071439,0.10677757245635024,-0.19926781256403875,-0.10318480393012901,0.01123854031269641,0.022716743631659306,-0.12986983465177163,-0.01817475346708194,-0.05546888401384117
1856,0.08865384653785323,-0.04516475108190203,-0.1701488843503481,-0.034976775975617526,0.06920039087017275,-0.2230930780033582,4.315364007668455e-05,0.039753235946942106,0.022496006041227545,-0.023833805458416076,0.048326558033361604,0.13504855420052678
1857,0.13640193634653297,-0.0937203958577094,-0.11508078755559863,-0.004245426936351801,0.03170910154604627,0.005032678260299883,-0.09501263029077565,0.03672136773947251,0.049718071268541573,0.022570447314424327,0.11946531118115061,0.30165966073348627
1858,-0.0516302371579393,0.019953604375564003,0.09702680185288161,-0.026991875525010704,0.06305307638443619,-0.014197928618382405,-0.1836787258167673,0.023418703491972045,0.02361887548042061,0.04360034335152564,0.03963507286616975,-0.002150832553837427
1859,-0.10770225974188141,-0.060888196420811044,0.11371803715415044,0.0368559478872395,0.015274402640112622,0.1291403450131745,-0.04551714319758099,0.09621647700031956,0.007075767479719822,0.09346713798628839,0.07973500867504375,-0.026427611709179986
1860,0.005590344571727779,0.09937810171458751,0.08634227848698155,-0.027360989175122342,0.04190846505366545,-0.008292057084687346,0.10573536377164365,0.0427523089935734,0.0882458641955852,0.006329800319288634,-0.038326334819878884,0.1064552463336834
1861,-0.06078095996007578,0.09525114073401993,0.09373910084078153,-0.00640994073266218,0.019953651095383634,-0.1478095692587337,-0.3145700147726862,0.0454685032581899,0.06259279204488141,-0.024901262872750903,0.0006185933595508753,-0.06487774731900713
1862,-0.018662324625528814,0.11436126359376333,0.04100893014468647,0.012533779590348248,0.07889811519799658,0.09146814144399758,-0.2066454936381412,0.07852000144711649,-0.009355265087115636,-0.01780442198859427,-0.010194988950046098,0.03010415856697755
1863,-0.06856448111509945,0.07036563812327068,0.1729066258163216,-0.08334144219822798,0.03626376388082955,0.03364517311880953,-0.053258190932993194,0.12420905426726782,0.019358689819075157,-0.057521133930575924,-0.09210841562263171,-0.02051902279820764
1864,-0.03013355097371128,0.07976142316113413,0.04015751049319813,-0.040136241613711786,0.023911414017154436,0.06642579148770102,-0.04475851412159938,0.007965727515470991,0.019789250173943878,-0.08719671341892304,-0.11181974667450681,0.02211071777814471
1865,0.10341499865816503,0.06072296215223469,-0.04677596344468633,-0.06824741900648738,0.050904710228027256,-0.025424117683753068,0.018763808180332603,-0.11475484048535219,0.06966465430029233,-0.041484033024752745,0.028022912431019495,0.06911077620379807
1866,0.05174373002503397,0.017598932384260555,0.017134598378985084,-0.042118468971021804,0.03670408601208645,0.01810865459880509,-0.09266190800625962,-0.01646599394487715,0.04805193712240823,0.08622634425216888,0.05172773680360851,-0.14160475202376693
1867,-0.10787018683062362,0.08187424997440887,0.08599875161997236,0.017575335442741317,0.022387439070752312,-0.07198216248638975,-0.04426950633824009,-0.023347539960929843,0.08974732980256157,-0.011370366834739886,-0.14072771344229906,-0.12575995823319897
1868,0.04818501930702879,0.08440980814455532,-0.03348566598770369,-0.036807557397801415,0.017261523225450093,-0.004992314476490591,-0.0857615593734445,0.018999122638751677,-0.038226341279479936,0.0006173261728997614,-0.02522485307071682,-0.1215637873968178
1869,0.012763820612541133,0.05213078287643321,0.06814919416954757,-0.006931544521052049,0.012821069239512524,0.04464852209480438,0.05086544148729243,0.049961384749756914,-0.005250780381806373,-0.008351707223229192,-0.15437881397122843,-0.12955643576446904
